arabic,transliteration,usage,reply_arabic,reply_transliteration
السلام عليكم,As-salamu alaykum,The standard Islamic greeting. Use it everywhere.,وعليكم السلام,Wa alaykum as-salam
هال وللا,Hala wallah,Casual warm hi. What friends say to each other.,هال فيك,Hala feek
مرحبا,Marhaba,Simple hello. Works in any setting.,أهلين,Ahlain
أهلاً وسهلاً,Ahlan wa sahlan,Formal welcome. Used when receiving guests.,أهلين وسهلين,Ahlain wa sahlain
حياك الله,Hayyak Allah,May God welcome you. Warm when someone enters.,الله يحييك,Allah yihayeek
صباح الخير,Sabah al-khair,Good morning.,صباح النور,Sabah al-noor
يسعد صباحك,Yis'ad sabahak,May your morning be happy. Warmer than sabah al-khair.,وصباحك,Wa sabahak
مساء الخير,Masa al-khair,Good evening.,مساء النور,Masa al-noor
تصبح على خير,Tisbah ala khair,Good night. Literally wake up to goodness.,وانت بخير,Wa inta bikhair
نورت,Nawwart,You have lit up the place. Said when someone arrives.,حياك الله,Hayyak Allah
كيفك؟,Keifak?,How are you? Most common version.,الحمدلله,Al-hamdu lillah
شخبارك؟,Shakhbarak?,How are you? Shorter and more casual.,تمام التمام,Tamam al-tamam
إيش الجديد؟,Eish al-jadid?,What is new? Use with close friends.,ما في شي جديد,Ma fi shay jadid
إيش لونك؟,Eish lonnak?,How are you? Literally what is your colour. Very Saudi.,بخير الله يسلمك,Bikhair Allah yisallimak
كيف الحال؟,Keif al-hal?,How are things? Slightly more formal.,الحمدلله,Al-hamdu lillah
شكراً,Shukran,Thank you. Universal.,عفواً,Afwan
مشكور,Mashkur,Thanks said to a male. More Saudi than shukran.,الله يسلمك,Allah yisallimak
الله يعطيك العافية,Allah yatik al-afiya,May God grant you wellness. Said after someone helps you.,الله يعافيك,Allah ya'afeek
تسلم,Tislam,Bless you. Said with genuine appreciation.,الله يسلمك,Allah yisallimak
الله يسلمك,Allah yisallimak,May God protect you. Warm sign-off.,وإياك,Wa iyyak
معليش,Ma'lesh,It is okay. No worries. One of the most used words in Gulf Arabic.,لا مشكلة,La mushkila
آسف,Asif,Sorry (male). Sincere apology.,معليش,Ma'lesh
لو سمحت,Law samaht,Excuse me. Used to get someone's attention politely.,تفضل,Tafaddal
أشوفك مرة جاي,Ashoofak marra jay,See you next time. Your sign-off.,إن شاء الله,Inshallah
مع السلامة,Ma'a as-salama,Goodbye. Literally go with peace.,الله يسلمك,Allah yisallimak
